Age,Annual_Income,Credit_Score,Loan_Amount,Employment_Years,Debt_To_Income_Ratio,Dependents,Approved
43,166,830,49,40,0.5907680595764828,3,0
42,165,797,91,10,0.07010979272431084,4,1
20,108,380,95,38,0.9751791362546911,0,0
27,102,689,13,19,0.3849137719139506,2,1
57,195,509,43,6,0.6376753574768151,5,0
68,70,453,90,11,0.9934163572758093,0,0
46,87,445,90,0,0.6023625430073862,2,0
51,121,414,57,39,0.2006739021010029,5,0
43,69,708,81,32,0.29741392950783496,4,1
45,106,531,41,22,0.7325558607170338,5,0
63,155,509,42,8,0.43961525066805385,0,0
53,131,843,38,32,0.4449376980079407,0,1
70,162,405,53,11,0.7587208675067755,2,0
31,151,437,71,16,0.7155554957950951,1,0
57,148,350,99,22,0.1991022903981734,4,0
50,115,704,62,24,0.7734265567271462,4,0
65,50,654,37,35,0.7763106529786457,4,0
66,83,596,81,15,0.12372808818713854,5,0
62,188,658,55,34,0.09274379512412934,3,1
46,75,662,48,2,0.5177881704805695,0,0
36,53,322,38,35,0.4256463329723189,1,0
47,170,488,19,30,0.0782398924342762,4,0
21,112,655,64,7,0.6084032276220502,2,0
62,40,678,45,23,0.46619580523704207,2,0
44,58,747,56,12,0.3993308329271872,2,1
42,136,442,50,30,0.990709239561908,3,0
34,113,548,30,29,0.4178174517811243,4,0
52,153,346,72,16,0.8230011748913447,5,0
23,111,693,92,17,0.8459681446546411,0,0
34,114,793,14,20,0.7795811667746075,4,0
51,56,727,14,39,0.5817858351234922,3,0
40,108,329,18,9,0.38503068123282524,2,0
61,96,676,42,14,0.3150734616138323,2,1
52,63,517,29,22,0.3363266123304779,2,0
60,63,779,44,37,0.5614216779983453,3,0
43,169,592,99,38,0.5213539751868225,2,0
50,122,824,71,34,0.646422054115559,3,0
42,112,546,63,19,0.2447439405988301,0,0
29,172,764,96,21,0.516718753944995,0,0
29,136,802,62,0,0.9299828176615764,4,0
50,52,811,58,23,0.2961431644014205,1,1
36,134,785,36,2,0.9003777288809311,1,0
69,190,398,39,40,0.6569110131862546,3,0
37,23,457,15,2,0.4339739231529036,2,0
45,46,734,22,21,0.7605429846558067,3,0
57,53,610,31,40,0.8995451880859054,4,0
18,61,443,76,4,0.14753433905956326,2,0
25,87,739,76,25,0.5208648238462119,1,0
54,99,804,69,23,0.6838472081316876,4,0
33,126,522,52,25,0.7059181105982749,5,0
24,149,671,72,16,0.48684316583456144,3,1
45,57,345,24,16,0.7189729393064442,5,0
54,47,457,74,18,0.17480789377518613,2,0
33,177,454,86,25,0.8813978525224676,0,0
60,158,795,49,38,0.9463169456136573,3,0
40,33,829,12,0,0.647603661360489,4,0
50,48,380,66,2,0.5638191250676405,5,0
69,71,764,14,23,0.4921372636561695,2,1
52,184,385,25,40,0.7470005861387303,2,0
46,170,847,9,10,0.968525631511219,1,0
47,128,356,90,10,0.8738993675014491,0,0
57,151,800,62,6,0.43681782063075425,1,1
32,55,385,68,17,0.9176490800218589,0,0
68,140,775,89,6,0.9004499861736733,4,0
21,200,738,88,16,0.8727982978990213,4,0
51,190,678,65,8,0.3668717064823884,0,1
68,45,593,64,5,0.901188767898186,2,1
28,132,777,85,10,0.7393576050720555,5,1
34,96,311,57,33,0.9034554360782215,1,0
42,87,746,61,13,0.04489311437442067,3,1
22,134,671,10,38,0.918094793200539,0,0
51,118,343,29,16,0.991304059411111,3,0
26,162,479,54,0,0.991142773743137,3,1
33,57,455,15,4,0.3972328397276593,3,0
34,157,831,10,21,0.30965930837327327,2,1
59,58,842,16,27,0.39661034205540036,3,1
31,175,842,50,38,0.35779602881969197,1,1
62,78,326,5,10,0.1678814283769029,2,0
54,186,309,79,33,0.21928274773832757,1,0
29,115,680,70,9,0.23141709329248328,1,1
61,59,776,22,31,0.8789551112920235,0,0
48,158,848,27,24,0.7014491379846196,1,0
64,85,767,95,13,0.7053090605220667,0,0
19,200,769,91,22,0.2129238823717109,0,1
42,92,378,82,14,0.4263349054403459,1,0
37,37,676,58,14,0.4633593063976348,2,0
45,33,849,96,15,0.5487466654634174,5,0
21,121,528,5,3,0.3198504928457496,1,0
55,172,471,28,13,0.2856105357452037,2,0
30,99,503,62,35,0.3575771009578127,1,0
50,80,460,18,8,0.8708395358672405,4,0
57,79,389,47,16,0.36739118162297923,3,0
38,57,413,39,3,0.03926192103657411,4,0
69,130,322,27,11,0.21471872754289212,3,0
59,129,563,13,25,0.5797293871230053,4,0
36,85,686,17,19,0.6007136437018746,3,0
24,53,433,11,40,0.6714508191554378,3,0
35,197,735,70,17,0.23549439572451836,0,1
36,103,519,24,4,0.7586875546482741,2,0
69,21,368,61,28,0.8158391711776937,4,0
30,147,607,21,17,0.8786190557049793,5,0
41,181,718,71,16,0.08928625153113057,0,1
27,68,502,65,39,0.2718842452628857,5,0
40,103,371,28,14,0.29862843706788267,2,0
62,120,548,8,35,0.9012035745643545,1,0
66,199,680,90,18,0.6604244281443521,2,0
51,23,712,94,15,0.31227242013567513,5,0
33,115,824,88,9,0.008679158337660864,0,1
63,128,449,88,33,0.8831834903527329,1,0
64,35,602,100,28,0.688992568370977,2,0
28,152,734,95,30,0.5033026042972379,3,0
37,132,694,15,6,0.07122402873572165,1,1
28,77,574,48,0,0.7629433341723002,5,0
49,38,644,21,19,0.3385973542543528,4,0
18,186,508,76,13,0.07145108748705731,1,0
70,74,621,73,10,0.9368254730147876,4,0
35,96,552,88,33,0.09163175209704921,5,0
66,150,462,73,5,0.03293529782984572,3,0
39,123,802,22,37,0.3569945274592565,5,0
63,101,659,92,17,0.7864434039217993,4,0
29,156,403,13,6,0.7070517267140926,5,0
65,148,370,63,19,0.13573753126091392,4,0
61,37,440,12,15,0.7692423791754562,0,0
34,61,609,34,9,0.4681960449310212,3,1
67,166,419,30,20,0.5885518145706807,2,0
24,42,424,46,36,0.9016501768797186,2,1
21,167,846,21,6,0.22843298275297852,2,1
19,127,541,48,1,0.9345872814168397,5,0
53,118,637,33,6,0.1326886118258459,3,1
68,41,839,34,29,0.48036810675721864,3,0
65,76,686,83,22,0.5783104301259233,1,0
26,84,426,18,14,0.5978422099949774,3,0
40,120,318,71,20,0.34991170821996764,5,0
22,113,666,77,21,0.3611054794490721,0,0
63,190,816,65,14,0.4242209219527411,2,1
37,195,770,13,32,0.9822397558535073,4,0
37,147,461,61,1,0.8153541341503657,2,0
29,44,544,57,27,0.5976433466633834,3,0
65,54,427,80,4,0.20473981634709681,4,0
18,180,605,46,22,0.40674055384111485,0,1
62,164,309,56,12,0.9284498369442518,3,0
43,124,446,36,21,0.6070867812025507,1,0
45,169,573,66,2,0.4101138832051573,1,0
43,175,827,75,23,0.9544751330941914,0,0
66,80,741,68,38,0.8405715517131769,3,0
68,138,513,98,6,0.16557112581954114,1,0
30,39,329,41,6,0.7665237766044308,2,0
67,80,403,36,0,0.6460702592714582,0,1
40,156,340,92,10,0.706076315836315,3,0
22,83,840,64,6,0.42232532447960347,1,1
28,196,755,64,32,0.02884840029002167,3,1
21,169,733,21,38,0.8709023716339244,2,0
30,149,691,12,14,0.3046118146566501,3,1
28,28,559,93,21,0.11883738890049111,0,0
32,74,842,55,10,0.039218501280014584,3,1
49,25,756,72,16,0.05613698040981574,5,0
24,158,556,55,2,0.8355369613800863,0,0
39,39,532,17,7,0.7923520627061558,3,0
54,140,358,15,15,0.1801933868998743,2,0
65,94,639,18,26,0.65417935903406,4,1
18,88,805,96,39,0.061242106551493536,5,1
20,120,486,19,33,0.37376925481270185,5,0
66,75,576,66,38,0.7672033839556843,4,0
27,157,409,20,35,0.4723586201987673,0,0
70,97,443,98,2,0.3132807293890614,5,0
20,110,595,66,28,0.09774648313960244,2,0
57,189,593,29,23,0.15601381602353792,2,0
34,59,370,78,15,0.13623038783786012,5,0
22,103,432,33,14,0.47534347373655284,5,0
68,160,451,5,2,0.17904123845076236,2,0
30,50,571,67,5,0.475218342372429,0,0
49,33,408,54,35,0.06485298549480056,4,0
59,88,648,88,11,0.777658105260791,4,0
70,49,719,27,25,0.2922268549036079,4,0
61,163,525,8,37,0.07393039075815655,3,0
19,21,492,93,12,0.8479377577586286,3,0
69,111,501,94,26,0.8403040415781398,0,0
39,81,408,38,35,0.5483574244356758,1,0
18,39,357,93,34,0.25621693216559005,2,0
28,48,815,69,32,0.4714298486321701,2,0
44,134,766,27,9,0.511355642488501,3,0
70,181,616,62,33,0.42308736985390427,3,1
49,168,695,70,27,0.050924107626700965,5,1
35,159,378,78,5,0.7957472077895101,0,0
35,32,504,65,17,0.4639324537746842,1,0
64,188,369,86,14,0.32918780664784786,4,0
24,55,648,35,34,0.9097507186313742,1,0
37,23,698,19,14,0.9088182628016865,0,0
33,137,701,81,27,0.7019537773285864,2,0
33,187,757,38,4,0.31669541546289626,0,1
56,42,839,17,1,0.25289627349037136,2,0
61,66,507,41,36,0.7627648111211612,0,0
60,171,302,39,1,0.80797784911414,4,0
30,157,312,40,19,0.8694456889989581,2,0
25,93,725,95,15,0.8501504977106406,1,0
54,175,338,87,32,0.6782500604631375,3,0
61,156,596,100,4,0.40300899993191985,4,0
62,119,836,55,39,0.3252762092417024,0,1
38,83,451,14,39,0.9663118582194857,2,0
41,183,630,54,35,0.004766130481536401,2,1
20,145,655,73,22,0.387185712611146,4,1
35,195,338,47,23,0.6249635170932158,0,0
28,187,610,31,40,0.29550885504779345,1,1
18,103,800,55,12,0.594719495907125,2,0
25,37,652,67,24,0.2835654825146794,3,0
49,163,539,98,32,0.08597839687504161,3,0
29,195,755,27,29,0.35264492155709815,3,0
63,41,460,81,24,0.7061239479158232,1,0
29,150,392,13,14,0.3324712269233808,1,0
62,175,716,78,21,0.9895417571200821,5,0
39,24,673,27,37,0.7861761049242482,1,0
42,109,429,21,22,0.0013659258750852166,4,0
68,166,343,88,40,0.1776682298391592,5,0
68,166,837,88,23,0.716222825011617,5,0
58,94,521,30,6,0.2727242366264233,5,0
34,135,570,44,6,0.14659841356285608,4,0
26,130,763,9,26,0.338754112224362,2,1
23,91,834,91,3,0.5820959322825418,0,0
35,180,427,51,21,0.8467996008147614,0,0
42,48,393,70,8,0.687542260552291,0,0
61,32,377,63,30,0.3936939533975087,5,0
53,187,771,35,4,0.3139025531672073,2,1
42,142,617,53,1,0.32834434465344475,4,1
47,177,351,28,24,0.7658794583498564,3,0
69,67,781,83,33,0.3338416300693422,4,1
37,21,355,10,39,0.7152956618574642,1,0
51,49,810,91,17,0.9973763525954301,2,0
22,77,377,75,20,0.2792075389642684,4,0
23,117,552,56,15,0.8182675681595905,0,0
56,36,352,25,37,0.4696728529767723,3,0
62,142,577,89,12,0.7726313885441417,4,0
30,135,731,22,10,0.7158253187940375,5,0
39,198,693,95,34,0.04039968027696683,5,1
19,118,327,66,28,0.015022674237874623,3,0
20,157,655,7,19,0.7497675583342468,2,0
48,127,334,76,16,0.3371876948353899,0,0
49,38,479,61,18,0.9487087157171121,4,0
62,62,424,35,13,0.7720210128316995,1,0
63,194,358,38,13,0.4532318012500003,4,0
35,83,716,39,30,0.09510937421839183,1,0
23,163,473,64,3,0.15263579133084437,0,0
37,104,826,92,21,0.640948190662361,4,0
50,189,498,49,31,0.17812850786325618,5,0
57,107,484,93,18,0.24649195443335237,5,0
21,156,750,67,4,0.9018621784701119,0,0
30,133,468,47,11,0.42756090012069714,5,0
58,48,620,17,1,0.13086106632466055,0,1
64,168,767,36,9,0.7826827605564662,5,0
37,122,794,81,1,0.38694584992530223,2,1
43,186,396,63,9,0.518354790594183,5,0
43,192,602,100,4,0.23668502596783692,3,1
39,84,809,42,32,0.08236213180828056,4,1
62,74,791,57,12,0.15970876214216712,2,1
34,86,411,60,31,0.7657467600343092,2,0
63,127,642,66,5,0.7232311509547122,4,0
30,182,340,52,9,0.5061432495582981,1,0
32,59,779,22,12,0.1282164882123883,1,1
65,179,717,61,29,0.21322034907000087,3,1
18,125,789,14,3,0.3829474086980963,4,1
70,74,628,95,17,0.20839748021616988,1,1
35,116,667,23,17,0.27880026265763946,0,0
41,23,628,69,6,0.7098002089640555,3,0
55,45,647,48,26,0.41352849898359334,3,0
20,198,707,24,26,0.973579357760546,2,0
20,108,336,39,3,0.3534145645002842,2,0
58,125,682,7,25,0.8867554060867875,1,0
47,123,405,41,31,0.7621209753744086,2,0
37,85,312,41,33,0.42578187606417994,2,0
68,129,443,7,17,0.2612413308916234,0,0
32,64,394,8,18,0.45250733645928154,5,0
35,126,723,67,7,0.10053155078621911,4,1
34,33,681,15,29,0.043937406555194514,0,0
21,175,487,11,21,0.2971308129551443,5,0
21,92,520,12,34,0.5700935695883249,4,0
31,167,307,83,5,0.43309450452034004,2,0
55,67,837,38,16,0.40199613737855644,0,1
18,26,691,31,39,0.17184336422419222,0,0
44,113,452,35,34,0.4861644657483969,1,0
50,112,384,96,6,0.8227691015073356,1,0
66,71,845,21,24,9.295975584744376e-06,0,1
30,23,617,51,37,0.8785119718112512,0,0
43,146,446,89,14,0.6342869146210478,5,0
68,149,695,35,32,0.6218395864940193,4,0
27,31,320,32,16,0.47555284200238057,2,0
42,40,388,90,4,0.8037740508642188,0,0
37,58,807,80,2,0.40752642307861653,0,1
62,41,723,85,1,0.12144526696213642,4,0
29,163,659,40,34,0.7083889681093689,1,0
58,104,786,81,12,0.5191731465010563,4,0
48,107,429,81,19,0.9814886636617198,4,0
52,112,407,73,7,0.2761240784481376,4,0
54,82,684,9,11,0.48589823198882,0,1
62,81,727,11,21,0.5252719714144657,5,0
51,24,782,39,26,0.09013898512260932,0,0
50,60,462,16,22,0.051159514196271294,2,0
22,178,310,22,23,0.16355171132294644,4,0
61,155,569,93,39,0.6515497829534784,5,0
56,198,652,9,28,0.5153163358913544,4,0
21,65,813,28,19,0.30463468871429256,4,1
54,177,346,32,7,0.42471367667671966,4,0
32,61,366,92,8,0.24649558743576983,2,0
38,192,532,74,19,0.6274888766401331,2,0
66,183,674,80,40,0.31825677763312066,2,1
47,79,632,75,6,0.6214309590607883,4,1
23,39,623,37,1,0.7673576610427454,1,0
40,91,815,62,5,0.25900207179449153,5,0
43,37,458,96,25,0.6984808097281888,0,0
20,52,577,47,36,0.9120747610251365,4,0
52,98,832,17,4,0.20803359713105252,0,1
48,163,589,36,6,0.8838462997372464,3,0
45,144,743,45,22,0.6887269488817191,5,0
19,89,824,53,4,0.528147880795364,4,0
25,33,746,35,21,0.0939198571680756,0,0
36,179,372,71,24,0.6857331015524998,2,0
36,95,315,52,9,0.33931702534386443,1,0
69,172,431,50,2,0.9042808366620061,3,0
63,128,725,49,32,0.2099567202490118,2,1
64,21,791,52,4,0.3570353426088887,0,0
47,61,359,12,4,0.10091598355441944,5,0
46,57,746,91,21,0.1348599046704717,3,1
65,73,439,64,23,0.11175300371966279,0,0
46,152,734,10,18,0.6282889945853214,0,0
58,28,693,61,11,0.13164061587825993,2,0
49,131,711,99,32,0.8971332992460653,3,0
62,103,560,56,39,0.37298538808301485,3,0
38,187,311,92,2,0.7120351387532843,2,0
53,163,490,70,24,0.5572476120782569,4,0
37,113,608,50,19,0.20501922487209,0,1
30,172,773,38,11,0.8896090273156472,1,1
21,133,314,84,10,0.9163148744811864,1,0
43,67,720,44,31,0.8559144754320444,5,0
28,141,548,72,22,0.9341944419085537,3,0
31,140,525,66,0,0.6396449437580538,5,0
55,138,564,75,28,0.9304437416801977,4,0
19,32,309,46,15,0.5658897560424324,1,0
49,147,692,51,22,0.5699090802127617,4,0
54,66,647,31,12,0.7949736351759626,1,0
22,39,596,40,13,0.13540126772172711,3,0
66,89,626,42,26,0.5938298741151422,1,1
57,151,376,69,9,0.22083241230609518,5,0
23,134,712,85,29,0.511530944476014,3,0
50,111,513,69,29,0.4170588807525225,4,0
25,71,744,83,37,0.09351568246937336,1,1
26,92,588,52,8,0.8026712203158792,4,0
44,155,720,65,35,0.004119817392669867,5,1
52,165,483,24,15,0.5322968174831954,4,0
45,165,565,65,25,0.1591590318499031,3,0
22,150,630,50,15,0.9036310603771054,2,0
26,140,560,92,4,0.16218168192912918,0,0
19,136,735,36,22,0.22469449178035583,3,1
63,31,360,71,13,0.5521956513689377,1,0
36,96,782,59,38,0.054576091949676275,1,1
66,147,614,8,17,0.18089937202436612,1,1
64,136,362,67,29,0.8385371897975978,2,0
51,97,848,88,11,0.8244802662548949,0,0
55,88,721,33,11,0.6216627012036154,2,0
30,141,716,24,1,0.4390022174900057,4,1
20,147,607,24,20,0.24806026951296445,4,1
68,139,647,23,32,0.4260852636727043,3,1
65,164,510,26,20,0.9258401082981041,3,0
54,95,371,66,35,0.26614780426440876,0,0
65,93,464,43,29,0.26008513613644635,2,0
42,193,650,88,27,0.11698823568238792,3,1
28,84,412,77,5,0.7501054973501461,0,0
34,21,417,94,37,0.1096118079986772,2,0
57,47,376,19,9,0.456310134438656,2,0
27,22,468,21,32,0.19112497497642955,5,0
35,162,319,94,2,0.19132550269045678,3,0
58,84,419,88,36,0.23771282025275475,1,0
33,56,802,18,4,0.26833106511932536,5,1
27,96,849,12,3,0.8854119499183736,0,0
31,47,325,70,15,0.6274341503743958,3,0
44,149,443,77,9,0.07429853823593424,1,0
32,25,300,21,7,0.3496005038060167,5,0
54,74,812,5,6,0.12820895198831084,0,1
54,58,661,78,7,0.44046793097857073,0,1
42,51,808,32,29,0.36974787306263923,3,1
22,146,700,18,39,0.5741220937740219,2,0
24,50,398,14,10,0.8581163831992467,1,0
20,141,404,69,27,0.02877081711945295,4,0
29,45,364,82,17,0.9334418297599064,0,0
67,67,475,6,23,0.4358282342202101,3,0
38,153,801,42,40,0.5650273423568051,0,0
46,77,769,13,5,0.49963200774974226,4,1
46,186,763,80,23,0.9499639128370317,1,0
64,142,663,16,0,0.5225448313113069,5,0
25,24,613,69,40,0.5409315806826384,5,0
35,38,410,8,37,0.18023660795346985,5,0
27,78,641,41,15,0.481251282371572,0,1
37,123,472,52,18,0.3317464916810625,1,0
68,110,513,91,16,0.2896460103807249,3,0
38,137,534,73,18,0.2501341043370423,5,0
55,188,535,5,19,0.4566067747668311,5,0
27,96,843,98,8,0.7962137690179005,4,0
23,130,441,65,15,0.6530842219930989,0,0
50,64,813,39,37,0.04445661442668469,0,1
46,92,349,72,5,0.6577574650262021,4,0
51,155,590,37,23,0.7884462607929984,4,0
18,82,793,95,15,0.4410266235155673,1,1
33,49,732,66,23,0.5083088667560282,2,0
47,41,385,90,6,0.16994249107498371,4,0
50,77,570,9,22,0.10064439431196248,2,0
28,63,632,13,17,0.43301811831932047,4,1
66,30,741,22,5,0.7184483262555225,1,0
48,59,512,70,36,0.21750406674044642,1,0
23,51,611,94,3,0.40783930667511004,4,1
48,125,717,98,18,0.12512921552072565,0,1
47,178,841,100,39,0.3052290446498356,2,1
19,34,825,21,24,0.23778842111157128,2,0
26,147,372,85,1,0.8548165645691179,5,0
49,59,719,13,23,0.9510429724757891,0,0
42,74,700,7,5,0.23818570559956198,2,1
29,170,322,36,13,0.9941293814497726,2,0
28,64,721,25,27,0.424261863628575,1,1
23,190,737,34,40,0.3125587034702625,3,1
62,136,777,68,3,0.25402769258304025,0,1
50,177,782,8,27,0.5726541054256784,0,0
55,161,375,47,33,0.2889535655280361,1,0
63,170,406,14,15,0.18688071205055523,4,0
44,100,488,23,36,0.25449090769663085,5,0
30,135,802,56,36,0.3616778850325263,3,1
51,124,728,29,2,0.349976030978181,3,1
25,143,780,18,32,0.003961834270900244,1,1
31,74,819,62,24,0.6158361058516504,1,0
50,107,490,26,39,0.8429175834609547,5,0
69,24,429,91,20,0.33708684088107377,0,0
23,49,505,98,39,0.1704848638960711,4,0
48,150,359,56,14,0.2915097494455816,3,0
28,25,441,37,4,0.478719899591182,4,0
67,149,354,9,9,0.8477930900130304,2,0
31,168,617,22,11,0.2827644352170794,5,1
25,190,504,14,23,0.19226265601993842,0,0
26,120,363,87,13,0.26787431607466927,1,0
55,153,403,71,17,0.37332919242503027,3,0
52,32,738,96,36,0.5429140103443503,4,0
41,189,318,7,7,0.6614756106844261,5,0
70,78,405,24,11,0.7425931846422301,3,0
69,37,629,75,13,0.7549683550660359,0,0
47,75,480,40,20,0.3666739714541998,1,0
46,185,665,83,5,0.22519652822524683,2,1
56,97,722,89,14,0.13211140136366695,2,1
62,154,506,89,28,0.5789889159986902,0,0
33,117,346,10,1,0.8298677221446958,2,0
34,47,612,11,15,0.7057427461975039,0,0
39,168,497,53,26,0.10944332710326876,4,0
40,189,692,31,34,0.2533587822148069,4,1
38,120,382,18,14,0.7084478458162832,5,0
60,118,341,83,3,0.19492733059813094,2,0
59,49,645,87,38,0.7015034576874905,0,0
59,193,632,44,20,0.43553244154724624,2,1
38,104,511,56,9,0.04400851538675099,1,0
34,76,448,7,14,0.6701625775392822,2,0
25,196,344,69,0,0.5780921207932251,4,0
62,131,337,55,32,0.4528715845851323,1,0
32,43,474,18,32,0.6492547254630091,5,0
38,101,537,70,27,0.33679011584136065,4,0
53,34,799,38,39,0.9780673088462226,5,0
69,103,422,75,2,0.839068575417683,4,1
31,25,668,39,11,0.5761717865405768,2,0
54,99,831,7,5,0.5553921789782958,1,0
46,116,691,18,5,0.8176105309172436,4,0
52,33,422,83,9,0.38066110112820095,4,0
33,87,606,92,17,0.018016647620129667,5,1
36,45,523,79,27,0.8434897555940103,3,0
44,83,459,55,35,0.9041956360677682,4,0
58,196,390,12,32,0.7033130814677766,1,0
64,43,435,57,18,0.6653280525803787,2,0
62,73,521,43,28,0.015581795500515971,5,0
62,57,808,77,27,0.28178777592402426,3,1
36,32,428,21,38,0.37526487573558587,2,0
63,21,471,57,29,0.7476046678843783,1,0
30,177,763,85,6,0.8881608320201092,0,0
22,100,764,26,9,0.2062982372447626,0,1
55,76,307,41,32,0.7178184120981771,3,0
35,57,616,76,5,0.4586536164091378,0,1
54,174,304,37,35,0.6251214837525967,4,0
30,117,312,25,23,0.014831842454580912,5,0
66,68,434,82,9,0.32928697384004224,4,0
24,127,819,7,23,0.4691259078935094,3,1
59,114,413,81,14,0.6426925784552184,0,0
32,90,507,67,30,0.2991650830641467,5,0
54,145,378,91,16,0.9245024298478619,2,1
32,150,495,59,21,0.7027632608064905,5,0
56,132,471,99,15,0.006825010766919992,1,0
43,144,605,85,13,0.831332983608313,1,0
30,147,557,71,13,0.8967600477056256,2,0
62,182,826,50,29,0.5017382210026992,0,0
68,97,630,45,32,0.13342055321544177,4,1
57,93,546,60,37,0.2907342284586226,5,0
27,148,494,41,24,0.501724646783326,1,0
70,27,849,61,26,0.9419828855732617,5,0
45,99,516,25,39,0.9729547330228147,3,0
45,95,660,47,14,0.6899129725565383,3,0
54,80,634,78,8,0.9482686497881705,2,0
49,132,681,89,38,0.45426699836555917,2,1
70,122,572,92,40,0.9871970480276607,2,0
25,90,650,92,34,0.3150207532146908,0,1
46,82,647,87,26,0.466638363953086,5,1
46,198,602,17,26,0.3069545019266202,5,1
56,197,339,72,16,0.4808025078372532,4,0
63,104,661,48,15,0.5516910461084356,2,0
23,68,827,81,38,0.6694296644301347,0,0
50,111,847,74,16,0.2790423871302602,5,1
59,31,443,50,36,0.49208257422089197,3,0
26,85,508,60,11,0.7664830893227842,5,0
42,196,375,28,17,0.17770081478953292,1,0
21,95,368,74,36,0.2782346226641418,1,0
43,158,616,64,20,0.5052106190319509,2,0
65,130,370,87,6,0.9431882907502764,1,0
64,186,757,90,16,0.6542349967603346,4,0
70,159,849,24,27,0.5323847130744477,4,0
64,47,810,34,21,0.024225862412799337,4,0
52,35,692,62,29,0.009003349923426884,1,0
60,131,529,72,3,0.4103350662149784,4,1
49,72,381,69,14,0.5710197509043037,4,0
57,92,483,70,11,0.18802523777072822,1,0
55,81,458,30,6,0.9147370599085243,4,0
66,131,739,69,37,0.44596111597618315,1,1
23,75,390,53,33,0.7346208603111565,2,0
55,96,356,61,18,0.7257310893630712,3,0
47,79,526,54,7,0.7816100492305522,3,0
31,115,793,69,7,0.38712133899054324,5,1
53,77,845,98,9,0.6388078682643784,2,0
28,187,711,53,2,0.7992387569371213,4,0
44,132,478,25,0,0.061784344228770105,4,0
67,57,434,48,37,0.7210502516015632,5,0
31,105,599,8,8,0.06890969560318216,4,0
46,50,430,31,5,0.36013986609000626,5,0
56,136,638,59,38,0.33311655788870953,3,1
42,129,301,67,31,0.38458379286021815,3,0
37,59,760,69,25,0.9751017354188574,0,0
32,82,451,89,37,0.24074454697137904,2,0
51,126,659,69,1,0.3359666440469845,3,1
55,158,682,11,11,0.03295417511463794,3,1
52,85,527,41,25,0.551788781106658,1,0
18,200,471,5,39,0.4486931369634679,4,0
58,111,776,18,35,0.8845697455765414,3,0
45,39,501,26,15,0.9676622758084842,3,0
49,94,552,18,13,0.6459034596607676,5,0
43,48,681,73,17,0.5562377257002904,2,0
31,102,583,5,24,0.7681738266838394,0,0
18,156,801,15,26,0.22380992509553066,2,1
34,73,512,85,9,0.9028401284526587,3,0
65,56,598,80,23,0.23117487118804259,0,0
48,130,638,55,32,0.0003329678851079487,0,1
68,30,587,40,28,0.7974087260553696,3,0
45,130,534,97,10,0.04724159207265277,2,0
37,160,627,73,18,0.5981178785355357,0,0
34,32,839,39,18,0.12039717548129492,1,0
35,76,561,6,20,0.9692702524285228,4,0
55,58,395,75,20,0.7736697713650498,5,0
58,43,314,16,12,0.980630125146547,5,0
22,146,748,16,17,0.7024777844603521,3,0
19,33,644,73,37,0.13709994679883297,5,1
53,128,834,40,13,0.15683045569660503,3,1
41,131,469,57,1,0.7496685021052901,4,0
56,74,534,98,25,0.9519119500446703,5,0
38,164,595,23,9,0.9579160868403928,5,0
24,107,308,65,23,0.27150992673788865,5,0
45,25,709,33,32,0.009174994152910898,5,0
42,188,421,35,8,0.8580779234265963,5,0
60,122,801,13,24,0.649417173643192,0,0
46,55,802,51,13,0.8002504545930117,4,0
33,51,364,39,5,0.556667686337004,3,0
41,121,492,31,11,0.8841143852998666,1,0
18,89,448,82,37,0.6594385611161038,2,0
19,119,424,22,31,0.6634986303769468,1,0
43,144,712,100,12,0.8068680434228418,0,0
25,24,794,74,30,0.15228395176323295,1,0
47,95,302,50,33,0.6504999845139404,1,0
27,141,526,86,7,0.48746657405034555,1,0
22,97,418,20,27,0.22369214333206333,1,0
55,69,565,20,19,0.4811796591121924,0,0
50,40,307,88,2,0.48775370957097863,2,0
44,22,490,70,38,0.47568395378296036,5,0
38,168,706,7,15,0.4340114113106288,3,1
30,58,330,89,32,0.6391553456502899,5,0
38,60,592,77,11,0.17862140702960194,3,0
59,184,718,11,9,0.4597109684483687,4,1
34,153,532,29,0,0.9500987190378207,2,0
37,78,694,29,39,0.9752114629741515,2,0
43,141,598,93,22,0.4597824418424993,3,0
40,189,730,10,9,0.04627651051524906,5,1
20,120,440,22,7,0.12026562198879953,0,0
30,85,738,44,10,0.2203895045804547,5,1
22,178,718,44,9,0.2682151227605093,4,0
50,110,746,28,31,0.8645412528975391,0,0
64,110,685,42,9,0.4342010279774393,5,1
31,161,726,99,25,0.5125226392306429,5,0
43,92,445,7,27,0.2347375812130953,0,0
49,77,803,63,31,0.028589209939715032,1,1
39,56,465,56,8,0.21681372583772296,2,0
34,70,624,10,32,0.34353294458149164,1,1
56,190,780,7,2,0.03976637022961638,1,1
27,152,383,95,28,0.9127220832912908,1,0
35,186,664,36,30,0.612349842003575,1,0
36,154,664,44,28,0.5191981785123732,0,0
28,109,581,95,7,0.5763878502046987,0,0
24,158,516,81,7,0.8951294814927913,5,0
45,117,692,93,17,0.7108272534348722,4,0
54,160,774,42,18,0.8149833644785408,3,0
25,80,411,46,36,0.44572588541238267,3,0
49,46,708,39,39,0.18704716486754946,0,0
32,106,464,52,21,0.8914133345976127,4,1
38,179,694,42,19,0.9113833233280016,4,0
68,48,722,87,5,0.6948257054559152,5,0
28,76,656,21,12,0.7609876565326091,1,0
42,178,531,31,14,0.545993026533768,3,0
